揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
長<div class="hint">chief; head</div>,ちょう,chief; head,あの <ruby>大<rt>おお</rt></ruby>きな <ruby>猿<rt>さる</rt></ruby>は <ruby>群<rt>む</rt></ruby>れの <ruby>長<rt>ちょう</rt></ruby>だ。,That big monkey is the leader of the group.,
長大<div class="hint">long and massive</div>,ちょうだい,long and massive,その <ruby>長大<rt>ちょうだい</rt></ruby>な <ruby>建物<rt>たてもの</rt></ruby>は <ruby>議事堂<rt>ぎじどう</rt></ruby>です。,The large; long building is the capitol.,
広大<div class="hint">extensive; vast</div>,こうだい,extensive; vast,<ruby>彼<rt>かれ</rt></ruby>は <ruby>地方<rt>ちほう</rt></ruby>に <ruby>広大<rt>こうだい</rt></ruby>な <ruby>土地<rt>とち</rt></ruby>を <ruby>所有<rt>しょゆう</rt></ruby>している。,He owns acres and acres of land in the provinces.,
西部<div class="hint">the West; western part</div>,せいぶ,the West; western part,<ruby>県<rt>けん</rt></ruby> <ruby>西部<rt>せいぶ</rt></ruby>の <ruby>天気<rt>てんき</rt></ruby> <ruby>予報<rt>よほう</rt></ruby>を <ruby>見<rt>み</rt></ruby>てください。,Please look at the weather forecast for the western part of the prefecture.,
南部<div class="hint">South; south part</div>,なんぶ,South; south part,<ruby>彼<rt>かれ</rt></ruby>はアメリカ <ruby>南部<rt>なんぶ</rt></ruby>の <ruby>出身<rt>しゅっしん</rt></ruby>です。,He comes from the southern U.S.,
北部<div class="hint">north; northern part</div>,ほくぶ,north; northern part,<ruby>北部<rt>ほくぶ</rt></ruby>の <ruby>山<rt>やま</rt></ruby>に <ruby>雪<rt>ゆき</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>りました。,It snowed on the northern part of the mountain.,
東部<div class="hint">eastern part; the East</div>,とうぶ,eastern part; the East,<ruby>彼<rt>かれ</rt></ruby>は <ruby>県<rt>けん</rt></ruby>の <ruby>東部<rt>とうぶ</rt></ruby>に <ruby>住<rt>す</rt></ruby>んでいます。,He lives in the east part of the prefecture.,
国力<div class="hint">national power</div>,こくりょく,national power,<ruby>不況<rt>ふきょう</rt></ruby>によりその <ruby>国<rt>くに</rt></ruby>の <ruby>国力<rt>こくりょく</rt></ruby>が <ruby>衰<rt>おとろ</rt></ruby>えてしまった。,The strength of that country has been weakened by the recession.,
この世<div class="hint">present life; this world</div>,このよ,present life; this world,この <ruby>世<rt>よ</rt></ruby>で <ruby>一番<rt>いちばん</rt></ruby>あなたが <ruby>好<rt>す</rt></ruby>きです。,I like you best in all the world.,
近世<div class="hint">modern ages</div>,きんせい,modern ages,<ruby>彼<rt>かれ</rt></ruby>は <ruby>近世<rt>きんせい</rt></ruby> <ruby>文学<rt>ぶんがく</rt></ruby>を <ruby>勉強<rt>べんきょう</rt></ruby>しています。,He studies early modern literature.,
空白<div class="hint">blank; void</div>,くうはく,blank; void,レポートに <ruby>空白<rt>くうはく</rt></ruby>のページがあるよ。,There is a blank page in the report.,
白書<div class="hint">white paper</div>,はくしょ,white paper,これが <ruby>去年<rt>きょねん</rt></ruby>の <ruby>経済<rt>けいざい</rt></ruby> <ruby>白書<rt>はくしょ</rt></ruby>です。,This is last year's Economic White Paper.,
白人<div class="hint">Caucasian; white person</div>,はくじん,Caucasian; white person,<ruby>私<rt>わたし</rt></ruby>の <ruby>妻<rt>つま</rt></ruby>は <ruby>白人<rt>はくじん</rt></ruby>です。,My wife is Caucasian.,
メディア<div class="hint">media</div>,めでぃあ,media,その <ruby>事件<rt>じけん</rt></ruby>がメディアを <ruby>賑<rt>にぎ</rt></ruby>わせている。,This event is enlivening the media.,
黒人<div class="hint">black person</div>,こくじん,black person,<ruby>背<rt>せ</rt></ruby>の <ruby>高<rt>たか</rt></ruby>い <ruby>黒人<rt>こくじん</rt></ruby>が <ruby>歩<rt>ある</rt></ruby>いてきた。,A tall black person walked along.,
肉食<div class="hint">carnivore</div>,にくしょく,carnivore,<ruby>虎<rt>とら</rt></ruby>は <ruby>肉食<rt>にくしょく</rt></ruby>の <ruby>動物<rt>どうぶつ</rt></ruby>です。,The tiger is a carnivore.,
魚<div class="hint">fish</div>,うお,fish,この <ruby>魚<rt>さかな</rt></ruby>は <ruby>魚市場<rt>うおいちば</rt></ruby>で <ruby>買<rt>か</rt></ruby>いました。,I bought this fish at the fish market.,
金魚<div class="hint">goldfish</div>,きんぎょ,goldfish,お <ruby>祭<rt>まつ</rt></ruby>りで <ruby>金魚<rt>きんぎょ</rt></ruby>すくいをやった。,I tried scooping the gold fish at the festival.,
野<div class="hint">field; open country</div>,の,field; open country,<ruby>野<rt>の</rt></ruby>の <ruby>花<rt>はな</rt></ruby>がきれいに <ruby>咲<rt>さ</rt></ruby>いている。,The meadow flowers are blossoming beautifully.,
野外<div class="hint">field; fields</div>,やがい,field; fields,<ruby>二人<rt>ふたり</rt></ruby>で <ruby>野外<rt>やがい</rt></ruby>コンサートに <ruby>出<rt>で</rt></ruby>かけました。,The two of us went together to the open air concert.,
小屋<div class="hint">cottage; playhouse</div>,こや,cottage; playhouse,<ruby>彼<rt>かれ</rt></ruby>は <ruby>海<rt>うみ</rt></ruby>のそばの <ruby>小屋<rt>こや</rt></ruby>に <ruby>住<rt>す</rt></ruby>んでいます。,He lives in a cottage by the sea.,
屋外<div class="hint">open air; outdoors</div>,おくがい,open air; outdoors,<ruby>学校<rt>がっこう</rt></ruby>のプールは <ruby>屋外<rt>おくがい</rt></ruby>にあります。,The school pool is outdoors.,
屋内<div class="hint">indoors</div>,おくない,indoors,<ruby>近<rt>ちか</rt></ruby>くに <ruby>屋内<rt>おくない</rt></ruby>のテニスコートができました。,An indoor tennis court has been built near here.,
目茶目茶<div class="hint">ruin; wreck</div>,めちゃめちゃ,ruin; wreck,<ruby>彼<rt>かれ</rt></ruby>はめちゃめちゃ <ruby>明<rt>あか</rt></ruby>るい。,He is incredibly outgoing.,
茶道<div class="hint">tea ceremony</div>,さどう,tea ceremony,<ruby>茶道<rt>さどう</rt></ruby>を <ruby>習<rt>なら</rt></ruby>って 3 <ruby>年<rt>ねん</rt></ruby>になります。,I have been learning tea ceremony for three years.,
茶の間<div class="hint">living room</div>,ちゃのま,living room,そのレポーターは <ruby>全国<rt>ぜんこく</rt></ruby>のお <ruby>茶の<ruby>間<rt>ちゃのま</rt></ruby>の <ruby>人気<rt>にんき</rt></ruby>ものだ。,The reporter is popular with viewers all over the country.,
気味<div class="hint">a touch; feeling</div>,きみ,a touch; feeling,ここは <ruby>少<rt>すこ</rt></ruby>し <ruby>気味<rt>きみ</rt></ruby>が <ruby>悪<rt>わる</rt></ruby>いですね。,This place is a little creepy.,
味覚<div class="hint">sense of taste</div>,みかく,sense of taste,<ruby>彼<rt>かれ</rt></ruby>はするどい <ruby>味覚<rt>みかく</rt></ruby>の <ruby>持ち<ruby>主<rt>もちぬし</rt></ruby>だ。,He has sensitive taste buds.,
レジャー<div class="hint">leisure; recreation</div>,れじゃー,leisure; recreation,この <ruby>市<rt>し</rt></ruby>にはレジャー <ruby>施設<rt>しせつ</rt></ruby>がない。,There are no leisure facilities in this city.,
未明<div class="hint">early dawn</div>,みめい,early dawn,<ruby>今日<rt>きょう</rt></ruby> <ruby>未明<rt>みめい</rt></ruby>その <ruby>国<rt>くに</rt></ruby>で <ruby>地震<rt>じしん</rt></ruby> <ruby>災害<rt>さいがい</rt></ruby>が <ruby>発生<rt>はっせい</rt></ruby>した。,Earthquake damage occurred in that country before dawn today.,
末日<div class="hint">last day</div>,まつじつ,last day,<ruby>彼<rt>かれ</rt></ruby>は 3 <ruby>月<rt>がつ</rt></ruby> <ruby>末日<rt>まつじつ</rt></ruby>で <ruby>退職<rt>たいしょく</rt></ruby>しました。,He retired at the end of March.,
合理<div class="hint">rationality</div>,ごうり,rationality,これは <ruby>使<rt>つか</rt></ruby>いやすさと <ruby>合理<rt>ごうり</rt></ruby> <ruby>性<rt>せい</rt></ruby>を <ruby>備<rt>そな</rt></ruby>えた <ruby>道具<rt>どうぐ</rt></ruby>だ。,This tool is easy to use and logically designed.,
道理<div class="hint">justice; reason</div>,どうり,justice; reason,<ruby>彼<rt>かれ</rt></ruby>の <ruby>言<rt>い</rt></ruby>うことは <ruby>道理<rt>どうり</rt></ruby>にかなっている。,What he says is reasonable.,
理事<div class="hint">director; trustee</div>,りじ,director; trustee,<ruby>彼<rt>かれ</rt></ruby>はある <ruby>協会<rt>きょうかい</rt></ruby>の <ruby>理事<rt>りじ</rt></ruby>を <ruby>務<rt>つと</rt></ruby>めています。,He is serving as the director of a certain society.,
解体<div class="hint">dismantling</div>,かいたい,dismantling,<ruby>展示<rt>てんじ</rt></ruby> <ruby>場<rt>じょう</rt></ruby>の <ruby>解体<rt>かいたい</rt></ruby>が <ruby>始<rt>はじ</rt></ruby>まった。,The dismantlement of the exhibition space has begun.,
国有<div class="hint">state-owned</div>,こくゆう,state-owned,この <ruby>森<rt>もり</rt></ruby>は <ruby>国有<rt>こくゆう</rt></ruby> <ruby>林<rt>りん</rt></ruby>です。,This is a national forest.,
無<div class="hint">naught; nothing</div>,む,naught; nothing,クリエーターは <ruby>無<rt>む</rt></ruby>から <ruby>物<rt>もの</rt></ruby>を <ruby>作り<ruby>出<rt>つくりだ</rt></ruby>す。,A creator produces something from nothing.,
無し<div class="hint">naught; nothing</div>,なし,naught; nothing,<ruby>今日<rt>きょう</rt></ruby>は <ruby>宿題<rt>しゅくだい</rt></ruby>は <ruby>無<rt>な</rt></ruby>しです。,There is no homework today.,
有無<div class="hint">existence; yes or no</div>,うむ,existence; yes or no,ここに <ruby>配偶<rt>はいぐう</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>の <ruby>有無<rt>うむ</rt></ruby>を <ruby>記入<rt>きにゅう</rt></ruby>してください。,Please write here whether or not your spouse is present.,
無休<div class="hint">open all year round</div>,むきゅう,open all year round,この <ruby>店<rt>みせ</rt></ruby>は <ruby>年中<rt>ねんじゅう</rt></ruby> <ruby>無休<rt>むきゅう</rt></ruby>です。,This shop is open all year.,
無人<div class="hint">deserted; uninhabited</div>,むじん,deserted; uninhabited,<ruby>一度<rt>いちど</rt></ruby> <ruby>無人島<rt>むじんとう</rt></ruby>に <ruby>行<rt>い</rt></ruby>ってみたいです。,Just once; I'd like to go to an uninhabited island.,
無力<div class="hint">powerlessness</div>,むりょく,powerlessness,<ruby>彼<rt>かれ</rt></ruby>は <ruby>自分<rt>じぶん</rt></ruby>が <ruby>無力<rt>むりょく</rt></ruby>だと <ruby>感<rt>かん</rt></ruby>じた。,He felt that he was powerless.,
無地<div class="hint">plain</div>,むじ,plain,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>無地<rt>むじ</rt></ruby>の Tシャツ<rt>てぃーしゃつ</rt></ruby>を <ruby>着<rt>き</rt></ruby>ています。,She is wearing a plain colored T-shirt.,
ジャパン<div class="hint">Japan</div>,じゃぱん,Japan,ジャパンは <ruby>昔<rt>むかし</rt></ruby>ジパングだったそうだ。,I hear that in the olden days Japan was called Zipangu.,
工作<div class="hint">handicraft; maneuvering</div>,こうさく,handicraft; maneuvering,<ruby>夏休<rt>なつやす</rt></ruby>みに <ruby>工作<rt>こうさく</rt></ruby>の <ruby>宿題<rt>しゅくだい</rt></ruby>が <ruby>出<rt>で</rt></ruby>ました。,The summer holiday craft project was distributed.,
作<div class="hint">authorship; work</div>,さく,authorship; work,これは <ruby>有名<rt>ゆうめい</rt></ruby>なロダン <ruby>作<rt>さく</rt></ruby>の <ruby>彫刻<rt>ちょうこく</rt></ruby>だ。,This is a sculpture by the well-known Rodin.,
行使<div class="hint">employment; use</div>,こうし,employment; use,<ruby>彼<rt>かれ</rt></ruby>は <ruby>自分<rt>じぶん</rt></ruby>の <ruby>権利<rt>けんり</rt></ruby>を <ruby>行使<rt>こうし</rt></ruby>した。,He exercised his rights.,
用語<div class="hint">diction; terminology</div>,ようご,diction; terminology,<ruby>彼<rt>かれ</rt></ruby>はコンピュータ <ruby>用語<rt>ようご</rt></ruby>に <ruby>詳<rt>くわ</rt></ruby>しい。,He is well-informed about computer jargon.,
通用<div class="hint">common usage</div>,つうよう,common usage,そのやり <ruby>方<rt>かた</rt></ruby>は <ruby>通用<rt>つうよう</rt></ruby>しません。,This way of doing things will not be effective.,
解消<div class="hint">cancellation</div>,かいしょう,cancellation,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>婚約<rt>こんやく</rt></ruby>を <ruby>解消<rt>かいしょう</rt></ruby>しました。,They broke off the engagement.,
飲食店<div class="hint">restaurant</div>,いんしょくてん,restaurant,この <ruby>近<rt>ちか</rt></ruby>くに <ruby>飲食<rt>いんしょく</rt></ruby> <ruby>店<rt>てん</rt></ruby>はありますか。,Is there a restaurant near here?,
品<div class="hint">elegance; refinement</div>,ひん,elegance; refinement,<ruby>彼<rt>かれ</rt></ruby>には <ruby>品<rt>ひん</rt></ruby>がある。,He has class.,
出品<div class="hint">exhibit</div>,しゅっぴん,exhibit,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>絵<rt>え</rt></ruby>を <ruby>展覧<rt>てんらん</rt></ruby> <ruby>会<rt>かい</rt></ruby>に <ruby>出品<rt>しゅっぴん</rt></ruby>した。,She presented pictures in the exhibition.,
値<div class="hint">cost; price</div>,ね,cost; price,その <ruby>作品<rt>さくひん</rt></ruby>はなかなか <ruby>値<rt>ね</rt></ruby>がつかなかった。,That work did not get any bids.,
格<div class="hint">class; norm; status</div>,かく,class; norm; status,<ruby>部長<rt>ぶちょう</rt></ruby>と <ruby>彼<rt>かれ</rt></ruby>とでは <ruby>格<rt>かく</rt></ruby>が <ruby>違<rt>ちが</rt></ruby>いますよ。,He and the department manager are of different ranks.,
格子<div class="hint">lattice; latticework</div>,こうし,lattice; latticework,その <ruby>部屋<rt>へや</rt></ruby>には <ruby>格子<rt>こうし</rt></ruby>のはまった <ruby>窓<rt>まど</rt></ruby>がひとつあった。,The room has one latticed window.,
売春<div class="hint">prostitution</div>,ばいしゅん,prostitution,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>売春<rt>ばいしゅん</rt></ruby>をして <ruby>警察<rt>けいさつ</rt></ruby>に <ruby>捕<rt>つか</rt></ruby>まった。,She was arrested by the police for soliciting.,
白熱<div class="hint">white heat</div>,はくねつ,white heat,<ruby>試合<rt>しあい</rt></ruby>が <ruby>白熱<rt>はくねつ</rt></ruby>してきました。,The match is heating up.,
ミニ<div class="hint">mini</div>,みに,mini,<ruby>彼女<rt>かのじょ</rt></ruby>はミニスカートがよく <ruby>似合<rt>にあ</rt></ruby>う。,The miniskirt suits her well.,
熱中<div class="hint">absorption; enthusiasm</div>,ねっちゅう,absorption; enthusiasm,<ruby>彼<rt>かれ</rt></ruby>はゲームに <ruby>熱中<rt>ねっちゅう</rt></ruby>している。,He is obsessed with the game.,
熱気<div class="hint">fevered air; hot air</div>,ねっき,fevered air; hot air,<ruby>会場<rt>かいじょう</rt></ruby>は <ruby>熱気<rt>ねっき</rt></ruby>に <ruby>包<rt>つつ</rt></ruby>まれています。,Excitement filled the hall.,
温もり<div class="hint">warmth</div>,ぬくもり,warmth,<ruby>彼<rt>かれ</rt></ruby>の <ruby>手<rt>て</rt></ruby>の <ruby>温<rt>ぬく</rt></ruby>もりがいつまでも <ruby>残<rt>のこ</rt></ruby>っていた。,I could feel the lingering warmth of his hand.,
