鬘<div class="hint">toupee; wig</div>,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
寒気<div class="hint">cold; cold weather</div>,かんき,cold; cold weather,<ruby>上空<rt>じょうくう</rt></ruby>を <ruby>寒気<rt>かんき</rt></ruby>が <ruby>通過<rt>つうか</rt></ruby>している。,Cold air is passing overhead.,
台無し<div class="hint">ruined; wasted</div>,だいなし,ruined; wasted,ワインをこぼして <ruby>新<rt>あたら</rt></ruby>しいシャツが <ruby>台無<rt>だいな</rt></ruby>しになってしまった。,I spilt some wine and ruined my new shirt.,
一風<div class="hint">eccentric</div>,いっぷう,eccentric,<ruby>彼<rt>かれ</rt></ruby>の <ruby>服装<rt>ふくそう</rt></ruby>は <ruby>一風<rt>いっぷう</rt></ruby> <ruby>変<rt>か</rt></ruby>わっている。,His clothes are eccentric.,
そよ風<div class="hint">gentle breeze</div>,そよかぜ,gentle breeze,<ruby>木の<ruby>葉<rt>このは</rt></ruby>がそよ <ruby>風<rt>かぜ</rt></ruby>にゆれている。,The leaves flutter in the breeze.,
無風<div class="hint">calm; windless</div>,むふう,calm; windless,<ruby>海<rt>うみ</rt></ruby>は <ruby>無風<rt>むふう</rt></ruby> <ruby>状態<rt>じょうたい</rt></ruby>だったのでヨットがまったく <ruby>進<rt>すす</rt></ruby>まなかった。,The yacht made no progress due to the lack of wind out at sea.,
風向き<div class="hint">wind direction</div>,かざむき,wind direction,<ruby>風向<rt>かざむ</rt></ruby>きが <ruby>変<rt>か</rt></ruby>わった。,The wind changed direction.,
風上<div class="hint">upwind; windward</div>,かざかみ,upwind; windward,<ruby>風上<rt>かざかみ</rt></ruby>の <ruby>方向<rt>ほうこう</rt></ruby>に <ruby>自転車<rt>じてんしゃ</rt></ruby>をこぐのは <ruby>大変<rt>たいへん</rt></ruby>だ。,It is hard work cycling against the wind.,
風下<div class="hint">downwind; leeward</div>,かざしも,downwind; leeward,<ruby>風下<rt>かざしも</rt></ruby>にいるので <ruby>煙<rt>けむり</rt></ruby>がもろに <ruby>来<rt>く</rt></ruby>る。,We are downwind so the smoke is coming directly at us.,
情け<div class="hint">mercy; sympathy</div>,なさけ,mercy; sympathy,<ruby>人<rt>ひと</rt></ruby>の <ruby>情<rt>なさ</rt></ruby>けが <ruby>身<rt>み</rt></ruby>にしみました。,I was touched by the person's compassion.,
スリル<div class="hint">thrill</div>,すりる,thrill,ジェットコースターはスリル <ruby>満点<rt>まんてん</rt></ruby>だ。,The rollercoaster is absolutely thrilling.,
報われる<div class="hint">be rewarded</div>,むくわれる,be rewarded,あなたの <ruby>言葉<rt>ことば</rt></ruby>で <ruby>報<rt>むく</rt></ruby>われました。,I was rewarded because of your words.,
報じる<div class="hint">inform; report</div>,ほうじる,inform; report,<ruby>新聞<rt>しんぶん</rt></ruby>は <ruby>連日<rt>れんじつ</rt></ruby>そのニュースを <ruby>報<rt>ほう</rt></ruby>じている。,The newspaper reports on the news every day.,
報いる<div class="hint">recompense; requite</div>,むくいる,recompense; requite,<ruby>先生<rt>せんせい</rt></ruby>のご <ruby>恩<rt>おん</rt></ruby>に <ruby>報<rt>むく</rt></ruby>いたいです。,I want to repay the teacher's kindness.,
報ずる<div class="hint">announce; publicize</div>,ほうずる,announce; publicize,<ruby>世界<rt>せかい</rt></ruby>の <ruby>出来事<rt>できごと</rt></ruby>を <ruby>報<rt>ほう</rt></ruby>ずるのがメディアの <ruby>務<rt>つと</rt></ruby>めです。,It is the job of the media to report events around the world.,
一昔<div class="hint">age; decade</div>,ひとむかし,age; decade,この <ruby>歌<rt>うた</rt></ruby>は <ruby>一昔<rt>ひとむかし</rt></ruby> <ruby>前<rt>まえ</rt></ruby>に <ruby>流行<rt>はや</rt></ruby>りました。,This song was popular some years ago.,
悪しからず<div class="hint">I beg you to understand my position</div>,あしからず,I beg you to understand my position,この <ruby>件<rt>けん</rt></ruby>についてあしからずご <ruby>了承<rt>りょうしょう</rt></ruby>ください。,We are grateful for your understanding in this matter.,
悪人<div class="hint">wicked person</div>,あくにん,wicked person,<ruby>彼<rt>かれ</rt></ruby>は <ruby>根<rt>ね</rt></ruby>っからの <ruby>悪人<rt>あくにん</rt></ruby>だ。,He is bad through and through.,
悪事<div class="hint">evil deed</div>,あくじ,evil deed,<ruby>悪事<rt>あくじ</rt></ruby>はいつかばれるものです。,Evil acts get discovered eventually.,
悪寒<div class="hint">chill</div>,おかん,chill,<ruby>朝<rt>あさ</rt></ruby>から <ruby>悪寒<rt>おかん</rt></ruby>がする。,I have been feeling chilly since this morning.,
カーネーション<div class="hint">carnation</div>,かーねーしょん,carnation,<ruby>母<rt>はは</rt></ruby>にカーネーションをプレゼントした。,I gave my mother some carnations.,
悪気<div class="hint">malice</div>,わるぎ,malice,<ruby>彼<rt>かれ</rt></ruby>は <ruby>悪気<rt>わるぎ</rt></ruby>があってやった <ruby>訳<rt>わけ</rt></ruby>ではない。,He did not do it out of spite.,
きまり悪い<div class="hint">awkward; embarrassed</div>,きまりわるい,awkward; embarrassed,<ruby>喧嘩<rt>けんか</rt></ruby>の <ruby>後<rt>あと</rt></ruby>しばらく <ruby>彼女<rt>かのじょ</rt></ruby>と <ruby>顔<rt>かお</rt></ruby>を <ruby>合<rt>あ</rt></ruby>わせるのがきまり <ruby>悪<rt>わる</rt></ruby>かった。,I couldn't look at her for a while after our argument.,
本心<div class="hint">one's mind; one's real intention</div>,ほんしん,one's mind; one's real intention,<ruby>本心<rt>ほんしん</rt></ruby>では <ruby>彼女<rt>かのじょ</rt></ruby>と <ruby>結婚<rt>けっこん</rt></ruby>したいです。,I truly want to marry.,
気心<div class="hint">disposition; temper</div>,きごころ,disposition; temper,<ruby>気心<rt>きごころ</rt></ruby>の <ruby>知<rt>し</rt></ruby>れた <ruby>友達<rt>ともだち</rt></ruby>と <ruby>会<rt>あ</rt></ruby>うのは <ruby>楽<rt>たの</rt></ruby>しい。,It is fun to meet friends whom we know well.,
一心に<div class="hint">wholeheartedly</div>,いっしんに,wholeheartedly,<ruby>彼<rt>かれ</rt></ruby>は <ruby>一心<rt>いっしん</rt></ruby>に <ruby>勉強<rt>べんきょう</rt></ruby>しています。,He is studying ardently.,
思いとどまる<div class="hint">abandon; refrain from</div>,おもいとどまる,abandon; refrain from,どうか <ruby>思<rt>おも</rt></ruby>いとどまってください。,Please give it up.,
思い上がる<div class="hint">get conceited</div>,おもいあがる,get conceited,<ruby>思い<ruby>上<rt>おもいあ</rt></ruby>がるのも <ruby>程々<rt>ほどほど</rt></ruby>にして。,Be moderate in your conceit.,
思わく<div class="hint">intention; thought</div>,おもわく,intention; thought,<ruby>彼<rt>かれ</rt></ruby>の <ruby>思<rt>おも</rt></ruby>わくは <ruby>外<rt>はず</rt></ruby>れました。,His speculation was off the mark.,
てくてく<div class="hint">steadily</div>,てくてく,steadily,<ruby>駅<rt>えき</rt></ruby>までてくてく <ruby>歩<rt>ある</rt></ruby>いていきました。,I plodded to the station.,
先決<div class="hint">previous decision</div>,せんけつ,previous decision,<ruby>問題<rt>もんだい</rt></ruby>の <ruby>原因<rt>げんいん</rt></ruby>を <ruby>突き<ruby>止<rt>つきと</rt></ruby>めるのが <ruby>先決<rt>せんけつ</rt></ruby>です。,The cause of the problem shall be ascertained before anything else.,
人見知り<div class="hint">shyness towards strangers</div>,ひとみしり,shyness towards strangers,うちの <ruby>娘<rt>むすめ</rt></ruby>は <ruby>人見知<rt>ひとみし</rt></ruby>りします。,Our daughter is shy of strangers.,
知覚<div class="hint">perception; sensation</div>,ちかく,perception; sensation,そのロボットは <ruby>人<rt>ひと</rt></ruby>の <ruby>動<rt>うご</rt></ruby>きを <ruby>知覚<rt>ちかく</rt></ruby>することができる。,The robot can perceive a person's movement.,
見ず知らず<div class="hint">strange; unknown</div>,みずしらず,strange; unknown,<ruby>見ず<ruby>知<rt>みずし</rt></ruby>らずの <ruby>人<rt>ひと</rt></ruby>に <ruby>挨拶<rt>あいさつ</rt></ruby>された。,I was greeted by someone I don't know.,
不可解<div class="hint">incomprehensible</div>,ふかかい,incomprehensible,<ruby>彼<rt>かれ</rt></ruby>はときどき <ruby>不可解<rt>ふかかい</rt></ruby>な <ruby>行動<rt>こうどう</rt></ruby>をする。,He sometimes behaves mysteriously.,
年号<div class="hint">name of era; reign title</div>,ねんごう,name of era; reign title,<ruby>今<rt>いま</rt></ruby>の <ruby>年号<rt>ねんごう</rt></ruby>は <ruby>平成<rt>へいせい</rt></ruby>です。,The current era is called the Heisei era.,
元号<div class="hint">era name</div>,げんごう,era name,<ruby>今<rt>いま</rt></ruby>の <ruby>元号<rt>げんごう</rt></ruby>は「 <ruby>平成<rt>へいせい</rt></ruby>」です。,The current era is called the &quot;Heisei era.&quot;,
名高い<div class="hint">famous; well-known</div>,なだかい,famous; well-known,<ruby>彼<rt>かれ</rt></ruby>は <ruby>名高<rt>なだか</rt></ruby>い <ruby>科学<rt>かがく</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>です。,He is a famous scientist.,
名月<div class="hint">full moon; harvest moon</div>,めいげつ,full moon; harvest moon,<ruby>今日<rt>きょう</rt></ruby>は <ruby>中秋<rt>ちゅうしゅう</rt></ruby>の <ruby>名月<rt>めいげつ</rt></ruby>です。,Tonight is the mid-fall harvest moon.,
どしどし<div class="hint">constantly; without hesitation</div>,どしどし,constantly; without hesitation,みなさんどしどしご <ruby>応募<rt>おうぼ</rt></ruby>ください。,Everybody; hurry and apply.,
高名<div class="hint">fame</div>,こうめい,fame,やがて <ruby>彼<rt>かれ</rt></ruby>は <ruby>高名<rt>こうめい</rt></ruby>な <ruby>学者<rt>がくしゃ</rt></ruby>になった。,He became a famous scholar before long.,
区々<div class="hint">diverse; various</div>,まちまち,diverse; various,みんなの <ruby>意見<rt>いけん</rt></ruby>はまちまちです。,Everyone has different opinions.,
帰京<div class="hint">returning to Tokyo</div>,ききょう,returning to Tokyo,<ruby>明日<rt>あした</rt></ruby> 17 <ruby>時<rt>じ</rt></ruby>の <ruby>飛行機<rt>ひこうき</rt></ruby>で <ruby>帰京<rt>ききょう</rt></ruby>します。,I fly back to Tokyo at 17:00 tomorrow.,
都市ガス<div class="hint">town gas</div>,としがす,town gas,この <ruby>町<rt>まち</rt></ruby>は <ruby>都市<rt>とし</rt></ruby>ガスが <ruby>通<rt>とお</rt></ruby>っています。,This town is supplied with municipal gas.,
好都合<div class="hint">favorable; fortunate</div>,こうつごう,favorable; fortunate,ここで <ruby>君<rt>きみ</rt></ruby>と <ruby>会<rt>あ</rt></ruby>えたのは <ruby>好都合<rt>こうつごう</rt></ruby>だ。,It was very fortunate to meet you here.,
一様<div class="hint">equal; uniform</div>,いちよう,equal; uniform,みんな <ruby>一様<rt>いちよう</rt></ruby>に <ruby>彼<rt>かれ</rt></ruby>の <ruby>案<rt>あん</rt></ruby>に <ruby>賛成<rt>さんせい</rt></ruby>した。,Everyone agreed with his idea.,
有り様<div class="hint">condition; sight</div>,ありさま,condition; sight,<ruby>事故<rt>じこ</rt></ruby>の <ruby>現場<rt>げんば</rt></ruby>はひどい <ruby>有り<ruby>様<rt>ありさま</rt></ruby>でした。,The accident scene was awful.,
御中<div class="hint">Messrs.</div>,おんちゅう,Messrs.,<ruby>宛先<rt>あてさき</rt></ruby>が <ruby>企業<rt>きぎょう</rt></ruby>の <ruby>場合<rt>ばあい</rt></ruby> <ruby>宛名<rt>あてな</rt></ruby>に「 <ruby>御中<rt>おんちゅう</rt></ruby>」を <ruby>付<rt>つ</rt></ruby>ける。,When the addressee is a company; people put &quot;Messrs&quot; as the form of address.,
売り物<div class="hint">feature; selling point</div>,うりもの,feature; selling point,このテレビは <ruby>省<rt>しょう</rt></ruby>スペースが <ruby>売り<ruby>物<rt>うりもの</rt></ruby>です。,This television's selling point is its compact size.,
うんと<div class="hint">hard; with effort</div>,うんと,hard; with effort,うんと <ruby>頑張<rt>がんば</rt></ruby>ろう。,Let's give it all we've got.,
物好き<div class="hint">curiosity</div>,ものずき,curiosity,<ruby>雨<rt>あめ</rt></ruby>の <ruby>中<rt>なか</rt></ruby>をわざわざ <ruby>出<rt>で</rt></ruby>かけるなんて <ruby>物好<rt>ものず</rt></ruby>きだな。,You must be mad to go all the way in the rain.,
物語る<div class="hint">demonstrate; tell a story</div>,ものがたる,demonstrate; tell a story,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>態度<rt>たいど</rt></ruby>が <ruby>彼<rt>かれ</rt></ruby>への <ruby>気持<rt>きも</rt></ruby>ちを <ruby>物語<rt>ものがた</rt></ruby>っています。,Her attitude conveys her feelings to him.,
重体<div class="hint">critical state; serious condition</div>,じゅうたい,critical state; serious condition,<ruby>怪我<rt>けが</rt></ruby> <ruby>人<rt>にん</rt></ruby>のうち&nbsp;&nbsp;2<ruby>人<rt>ふたり</rt></ruby>は <ruby>重体<rt>じゅうたい</rt></ruby>です。,Two of the wounded are seriously hurt.,
重んじる<div class="hint">honor; respect</div>,おもんじる,honor; respect,<ruby>彼<rt>かれ</rt></ruby>は <ruby>伝統<rt>でんとう</rt></ruby>を <ruby>重<rt>おも</rt></ruby>んじる <ruby>人<rt>ひと</rt></ruby>だ。,He is a person who values tradition.,
重んずる<div class="hint">honor; respect</div>,おもんずる,honor; respect,この <ruby>国<rt>くに</rt></ruby>は <ruby>礼儀<rt>れいぎ</rt></ruby>を <ruby>重<rt>おも</rt></ruby>んずる <ruby>社会<rt>しゃかい</rt></ruby>だ。,Society in this country values manners.,
軽はずみ<div class="hint">hastiness; rashness</div>,かるはずみ,hastiness; rashness,そんな <ruby>軽<rt>かる</rt></ruby>はずみなことを <ruby>言<rt>い</rt></ruby>ってはいけないよ。,You shouldn't say such a thoughtless thing.,
気配り<div class="hint">attention to detail</div>,きくばり,attention to detail,<ruby>彼女<rt>かのじょ</rt></ruby>はいつでも <ruby>回<rt>まわ</rt></ruby>りの <ruby>人<rt>ひと</rt></ruby>たちへの <ruby>気配<rt>きくば</rt></ruby>りを <ruby>忘<rt>わす</rt></ruby>れない。,She never forgets to consider those around her.,
仕送り<div class="hint">sending of money</div>,しおくり,sending of money,<ruby>彼<rt>かれ</rt></ruby>は <ruby>両親<rt>りょうしん</rt></ruby>から <ruby>仕送<rt>しおく</rt></ruby>りしてもらっている。,He receives a monthly allowance from his parents.,
取っ手<div class="hint">handle; knob</div>,とって,handle; knob,<ruby>引き<ruby>出<rt>ひきだ</rt></ruby>しの <ruby>取っ<ruby>手<rt>とって</rt></ruby>がとれてしまった。,The drawer handle has come off.,
めっきり<div class="hint">remarkably</div>,めっきり,remarkably,<ruby>最近<rt>さいきん</rt></ruby>めっきり <ruby>寒<rt>さむ</rt></ruby>くなった。,It has become cold suddenly of late.,
取り外す<div class="hint">dismantle; remove</div>,とりはずす,dismantle; remove,<ruby>店<rt>みせ</rt></ruby>の <ruby>古<rt>ふる</rt></ruby>い <ruby>看板<rt>かんばん</rt></ruby>を <ruby>取り<ruby>外<rt>とりはず</rt></ruby>した。,I removed the old signboard from the shop.,
